objectid,filename,title,format,filesize,subject,creator ,date,location,measurement,material,equipment,process,edition,exhibition,rights
eternalknotsforuntying,eternalknotsforuntying.jpg,Eternal Knots for Untying,image/jpeg,563 KB,Tapestry,"Landsittel, Melanie",2022,"Lexington, Kentucky, USA",68 x 26 x .5,"Wool, Cotton",Tc2 Manual jaquard loom,,1,"Synthesis, 2022",CC BY 4.0
symbiosis,symbiosis.jpg,Symbiosis,image/jpeg,464 KB,Tapestry,"Landsittel, Melanie",2022,"Lexington, Kentucky, USA",30 x 26 x .5,"Wool, Cotton",Tc2 Manual jaquard loom,,1,"Green Space, 2023",CC BY 4.0
trichomes,trichomes.jpg,Trichomes,image/jpeg,196 KB,Tapestry,"Landsittel, Melanie",2022,"Lexington, Kentucky, USA",50 x 26 x .5,"Wool, Cotton",Tc2 Manual jaquard loom,,1,"Green Space, 2023",CC BY 4.0
jellybean,jellybean.jpg,Jellybean,image/jpeg,654 KB,Tapestry,"Landsittel, Melanie",2022,"Lexington, Kentucky, USA",20 x 26 x .5,"Wool, Cotton, Glass Beads",Tc2 Manual jaquard loom,Hand beading,1,"Better is the Enemy of Good, 2022",CC BY 4.0
callinmelody,callinmelody.jpg,Call in Melody,image/jpeg,139 KB,Artist Book,"Landsittel, Melanie",2021,"Lexington, Kentucky, USA",5 x 7 x .25,"Ink, Cover-weight paper","Risograph, Screenprinting",,30,"Green Space, 2023",CC BY 4.0
policy,policy.jpg,Policy,image/jpeg,1 MB,Tapestry,"Landsittel, Melanie",2021,"Lexington, Kentucky, USA",60 x 26 x .5,"Wool, Cotton",Tc2 Manual jaquard loom,,1,"Better is the Enemy of Good, 2022",CC BY 4.0
suggestion,suggestion.jpg,Suggestion,image/jpeg,935 KB,Tapestry,"Landsittel, Melanie",2021,"Lexington, Kentucky, USA",30 x 26 x .5,"Wool, Cotton",Tc2 Manual jaquard loom,,1,"Better is the Enemy of Good, 2022",CC BY 4.0
hiddengem,hiddengem.jpg,Hidden Gem,image/jpeg,453 KB,Tapestry,"Landsittel, Melanie",2021,"Lexington, Kentucky, USA",17.5 x 26 x .5,"Wool, Cotton",Tc2 Manual jaquard loom,,1,"Synthesis, 2022",CC BY 4.0
neighborlylove,neighborlylove.jpg,Neighborly Love,image/jpeg,520 KB,Tapestry,"Landsittel, Melanie",2021,"Lexington, Kentucky, USA",18.5 x 26 x .5,"Wool, Cotton",Tc2 Manual jaquard loom,,1,"Synthesis, 2022",CC BY 4.0
plenty,plenty.jpg,Plenty,image/jpeg,434 KB,Tapestry,"Landsittel, Melanie",2021,"Lexington, Kentucky, USA",16 x 13 x .5,"Wool, Cotton",Tc2 Manual jaquard loom,,1,N/A,CC BY 4.0
